"","ACL","ZIP","IP","VMP","NVM","TDM","TDC","TDCH","TEM","TEC","TECH","TNM","TNC","TNCH","TIM","TIC","TICH","CSC","Churn"
"1",128,415,"No","Yes",25,265.1,110,45.07,197.4,99,16.78,244.7,91,11.01,10,3,2.7,1,"NO"
"8",147,415,"Yes","No",0,157,79,26.69,103.1,94,8.76,211.8,96,9.53,7.1,6,1.92,0,"NO"
"10",141,415,"Yes","Yes",37,258.6,84,43.96,222,111,18.87,326.4,97,14.69,11.2,5,3.02,0,"NO"
"13",168,408,"No","No",0,128.8,96,21.9,104.9,71,8.92,141.1,128,6.35,11.2,2,3.02,1,"NO"
"19",76,510,"No","Yes",33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10,5,2.7,1,"NO"
"26",174,415,"No","No",0,124.3,76,21.13,277.1,112,23.55,250.7,115,11.28,15.5,5,4.19,3,"NO"
"29",20,415,"No","No",0,190,109,32.3,258.2,84,21.95,181.5,102,8.17,6.3,6,1.7,0,"NO"
"34",12,408,"No","No",0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1,"YES"
"36",72,415,"No","Yes",37,220,80,37.4,217.3,102,18.47,152.8,71,6.88,14.7,6,3.97,3,"NO"
"37",36,408,"No","Yes",30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,"NO"
"38",78,415,"No","No",0,130.8,64,22.24,223.7,116,19.01,227.8,108,10.25,10,5,2.7,1,"NO"
"50",97,415,"No","Yes",24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11,3,2.97,1,"NO"
"59",68,415,"No","No",0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,"NO"
"61",174,408,"No","No",0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,"NO"
"63",74,510,"No","Yes",33,193.7,91,32.93,246.1,96,20.92,138,92,6.21,14.6,3,3.94,2,"NO"
"68",113,408,"Yes","No",0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,"NO"
