"","ACL","ZIP","IP","VMP","NVM","TDM","TDC","TDCH","TEM","TEC","TECH","TNM","TNC","TNCH","TIM","TIC","TICH","CSC","Churn"
"2",107,415,"No","Yes",26,161.6,123,27.47,195.5,103,16.62,254.4,103,11.45,13.7,3,3.7,1,"NO"
"3",137,415,"No","No",0,243.4,114,41.38,121.2,110,10.3,162.6,104,7.32,12.2,5,3.29,0,"NO"
"4",84,408,"Yes","No",0,299.4,71,50.9,61.9,88,5.26,196.9,89,8.86,6.6,7,1.78,2,"NO"
"5",75,415,"Yes","No",0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,10.1,3,2.73,3,"NO"
"6",118,510,"Yes","No",0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,6.3,6,1.7,0,"NO"
"7",121,510,"No","Yes",24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,7.5,7,2.03,3,"NO"
"9",117,408,"No","No",0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,"NO"
"11",65,415,"No","No",0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,"YES"
"12",74,415,"No","No",0,187.7,127,31.91,163.4,148,13.89,196,94,8.82,9.1,5,2.46,0,"NO"
"14",95,510,"No","No",0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3,"NO"
"15",62,415,"No","No",0,120.7,70,20.52,307.2,76,26.11,203,99,9.14,13.1,6,3.54,4,"NO"
"16",161,415,"No","No",0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,"YES"
"17",85,408,"No","Yes",27,196.4,139,33.39,280.9,90,23.88,89.3,75,4.02,13.8,4,3.73,1,"NO"
"18",93,510,"No","No",0,190.7,114,32.42,218.2,111,18.55,129.6,121,5.83,8.1,3,2.19,3,"NO"
"20",73,415,"No","No",0,224.4,90,38.15,159.5,88,13.56,192.8,74,8.68,13,2,3.51,1,"NO"
"21",147,415,"No","No",0,155.1,117,26.37,239.7,93,20.37,208.8,133,9.4,10.6,4,2.86,0,"NO"
"22",77,408,"No","No",0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5,"YES"
"23",130,415,"No","No",0,183,112,31.11,72.9,99,6.2,181.8,78,8.18,9.5,19,2.57,0,"NO"
"24",111,415,"No","No",0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,"NO"
"25",132,510,"No","No",0,81.1,86,13.79,245.2,72,20.84,237,115,10.67,10.3,2,2.78,0,"NO"
"27",57,408,"No","Yes",39,213,115,36.21,191.1,112,16.24,182.7,115,8.22,9.5,3,2.57,0,"NO"
"28",54,408,"No","No",0,134.3,73,22.83,155.5,100,13.22,102.1,68,4.59,14.7,4,3.97,3,"NO"
"30",49,510,"No","No",0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3,1,"NO"
